delito_pgj,id_delito_general,cve_delito
ROBO VEHICULO MAQUINARIA C/V,9,Robo de vehículo con violencia
ROBO VEHICULO MAQUINARIA C/V,9,Robo de vehículo con violencia
ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,9,Robo de vehículo con violencia
AUTO ROBO C/V SERV. PUBLICO,9,Robo de vehículo con violencia
AUTO ROBO C/V SERV. PUBLICO,9,Robo de vehículo con violencia
ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,9,Robo de vehículo con violencia
ROBO DE MOTOCICLETA C/V,9,Robo de vehículo con violencia
ROBO DE MOTOCICLETA C/V,9,Robo de vehículo con violencia
ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA,9,Robo de vehículo con violencia
ROBO DE VEHICULO OFICIAL C/V,9,Robo de vehículo con violencia
AUTO ROBO C/V SERV. PARTICULAR,9,Robo de vehículo con violencia
AUTO ROBO C/V SERV. PARTICULAR,9,Robo de vehículo con violencia
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE CON VIOLENCIA,9,Robo de vehículo con violencia
ROBO DE MOTOCICLETA CON VIOLENCIA,9,Robo de vehículo con violencia
ROBO DE VEHICULO DE SERVICIO OFICIAL CON VIOLENCIA,9,Robo de vehículo con violencia
ROBO VEHICULO DE TRANSPORTE C/V,9,Robo de vehículo con violencia
ROBO VEHICULO DE TRANSPORTE C/V,9,Robo de vehículo con violencia
ROBO VEHICULO OFICIAL C/V,9,Robo de vehículo con violencia
ROBO VEHICULO OFICIAL C/V,9,Robo de vehículo con violencia
ROBO DE MAQUINARIA CON VIOLENCIA,9,Robo de vehículo con violencia
"ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS C/V",9,Robo de vehículo con violencia
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),13,Robo a negocio con violencia
ASALTO BANCARIO,13,Robo a negocio con violencia
"NOMINA, ROBO C/V TRASLADO DE VALORES",13,Robo a negocio con violencia
C/V. NEGOCIO,13,Robo a negocio con violencia
ROBO A SUCURSAL BANCARIA (SUPERMERCADO) CON VIOLENCIA,13,Robo a negocio con violencia
C/V. A OFICINAS P.,13,Robo a negocio con violencia
ROBO DE VEHICULO Y NOMINA CON VIOLENCIA,13,Robo a negocio con violencia
ROBO A NEGOCIO CON VIOLENCIA,13,Robo a negocio con violencia
ROBO A OFICINA PÚBLICA CON VIOLENCIA,13,Robo a negocio con violencia
ROBO A NEGOCIO Y AUTO C/V,13,Robo a negocio con violencia
ROBO A SUCURSAL BANCARIA (ASALTO BANCARIO) CON VIOLENCIA,13,Robo a negocio con violencia
ROBO C/V SUCURSAL BACARIA,13,Robo a negocio con violencia
ROBO A NEGOCIO Y VEHICULO CON VIOLENCIA,13,Robo a negocio con violencia
"NOMINA, ROBO C/V DENTRO DE LA EMPRESA",13,Robo a negocio con violencia
ROBO DE AUTO Y NOMINA C/V,13,Robo a negocio con violencia
ROBO A SUCURSAL BANCARIA CON VIOLENCIA,13,Robo a negocio con violencia
ROBO DURANTE TRASLADO DE VALORES (NOMINA) CON VIOLENCIA,13,Robo a negocio con violencia
ROBO EN INTERIOR DE EMPRESA (NOMINA) CON VIOLENCIA,13,Robo a negocio con violencia
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),13,Robo a negocio con violencia
ROBO A SUCURSAL BANCARIA DENTRO DE  TIENDAS DE AUTOSERVICIO CON VIOLENCIA,13,Robo a negocio con violencia
LESIONES DOLOSAS POR ARMA DE FUEGO,10,Lesiones dolosas por disparo de arma de fuego
LESIONES INTENCIONALES POR ARMA DE FUEGO,10,Lesiones dolosas por disparo de arma de fuego
LESIONES INT. ARMA DE FUEGO,10,Lesiones dolosas por disparo de arma de fuego
LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,10,Lesiones dolosas por disparo de arma de fuego
ROBO DE VEHICULO OFICIAL S/V,8,Robo de vehículo sin violencia
ROBO VEHICULO MAQUINARIA S/V,8,Robo de vehículo sin violencia
ROBO VEHICULO MAQUINARIA S/V,8,Robo de vehículo sin violencia
ROBO VEHICULO OFICIAL S/V,8,Robo de vehículo sin violencia
ROBO VEHICULO OFICIAL S/V,8,Robo de vehículo sin violencia
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO VEHICULO DE TRANSPORTE S/V,8,Robo de vehículo sin violencia
ROBO VEHICULO DE TRANSPORTE S/V,8,Robo de vehículo sin violencia
ROBO DE MOTOCICLETA SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO DE VEHICULO DE SERVICIO OFICIAL SIN VIOLENCIA,8,Robo de vehículo sin violencia
AUTO ESTACIONADO S. PARTICULAR,8,Robo de vehículo sin violencia
AUTO ESTACIONADO S. PARTICULAR,8,Robo de vehículo sin violencia
AUTO ESTACIONADO S. PUBLICO,8,Robo de vehículo sin violencia
AUTO ESTACIONADO S. PUBLICO,8,Robo de vehículo sin violencia
ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO DE MAQUINARIA SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO DE MOTOCICLETA S/V,8,Robo de vehículo sin violencia
ROBO DE MOTOCICLETA S/V,8,Robo de vehículo sin violencia
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO DE VEHÍCULO PARTICULAR SIN VIOLENCIA,8,Robo de vehículo sin violencia
ROBO DE VEHÍCULO UTILITARIO SIN VIOLENCIA,8,Robo de vehículo sin violencia
"ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS S/V",8,Robo de vehículo sin violencia
TRANSEUNTE EN EL METRO C/V,2,Robo a pasajero a bordo del Metro
TRANSEUNTE S/V EN EL METRO,2,Robo a pasajero a bordo del Metro
ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA,2,Robo a pasajero a bordo del Metro
ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,2,Robo a pasajero a bordo del Metro
ROBO A TRANSEÚNTE A BORDO DE METRO SIN VIOLENCIA,2,Robo a pasajero a bordo del Metro
